100,F100,Fokker 100,M
141,B461,BAe 146-100,M
142,B462,BAe 146-200,M
143,B463,BAe 146-300,M
14X,B461,BAe 146 Freighter (-100QT & QC),M
14Y,B462,BAe 146 Freighter (-200QT & QC),M
14Z,B463,BAe 146 Freighter (-200QT & QC),M
290,E290,Embraer E190-E2,M
295,E295,Embraer E195-E2,M
221,BCS1,Airbus A220-100,M
223,BCS3,Airbus A220-200,M
310,A310,Airbus A310,H
312,A310,Airbus A310-200,H
313,A310,Airbus A310-300,H
318,A318,Airbus A318,M
319,A319,Airbus A319
31F,A310,Airbus A310 Freighter,M
31N,A19N,Airbus A319 Neo,M
31X,A310,Airbus A310-200 Freighter,M
31Y,A310,Airbus A310-300 Freighter,M
320,A320,Airbus A320-100/200,M
321,A321,Airbus A321-100/200,M
32A,A320,Airbus A320-200
32C,A318,Airbus A318
32D,A319,Airbus A319,M
32N,A20N,Airbus A320-200 Neo,M
32Q,A21N,Airbus A321-200 Neo,M
32S,n/a,Airbus A318/319/320/321,M
330,A330,Airbus A330 all models,H
332,A332,Airbus A330-200,H
333,A333,Airbus A330-300,H
,A337,Airbus A330-700 Beluga XL,H
338,A338,Airbus A330-800 Neo,H
339,A339,Airbus A330-900 Neo,H
33X,A332,Airbus A330-200 Freighter,H
340,A340,Airbus A340 all models,H
342,A342,Airbus A340-200,H
343,A343,Airbus A340-300,H
345,A345,Airbus A340-500,H
346,A346,Airbus A340-600,H
351,A35K,Airbus A350-1000,H
359,A359,Airbus A350-900,H
380,A388,Airbus A380,J
38F,,Airbus A380 Freighter,J
703,B703,Boeing 707-300,H
707,n/a,Boeing 707/720 all models,H
70F,B703,Boeing 707 Freighter,H
70M,B703,Boeing 707 Combi,H
717,B712,Boeing 717,M
721,B721,Boeing 727-100,M
722,B722,Boeing 727-200,M
727,n/a,Boeing 727 all models,M
72B,B721,Boeing 727-100 Mixed Configuration,M
72C,B722,Boeing 727-200 Mixed Configuration,M
72F,n/a,Boeing 727 Freighter (-100/200),M
72M,n/a,Boeing 727 Combi,M
72S,B722,Boeing 727-200 Advanced,M
72W,B721,Boeing 727-200,M
72X,B721,Boeing 727-100 Freighter,M
72Y,B722,Boeing 727-200 Freighter,M
731,B731,Boeing 737-100,M
732,B732,Boeing 737-200,M
733,B733,Boeing 737-300,M
734,B734,Boeing 737-400,M
735,B735,Boeing 737-500,M
736,B736,Boeing 737-600,M
737,n/a,Boeing 737 all models,M
738,B738,Boeing 737-800,M
739,B739,Boeing 737-900,M
73C,B733,Boeing 737-300,M
73E,B735,Boeing 737-500,M
73F,n/a,Boeing 737 all Freighter models,M
73G,B737,Boeing 737-700,M
73H,B738,Boeing 737-800,M
73J,B739,Boeing 737-900,M
73L,B732,Boeing 737-200,M
73M,n/a,Boeing 737,M
73P,B734,Boeing 737-400 Freighter,M
73Q,B734,Boeing 737-400,M
73R,B737,Boeing 737-700,M
73W,B737,Boeing 737-700,M
73X,B732,Boeing 737-200 Freighter,M
73Y,B733,Boeing 737-300 Freighter,M
741,B741,Boeing 747-100,H
742,B742,Boeing 747-200,H
743,B743,Boeing 747-300,H
744,B744,Boeing 747-400,H
747,n/a,Boeing 747 all models,H
748,B748,Boeing 747-8,H
74B,B744,Boeing 747-400 Swingtail Freighter,H
74C,B742,Boeing 747-200 Combi,H
74D,B743,Boeing 747-300 Combi,H
74E,B744,Boeing 747-400 Combi,H
74F,n/a,Boeing 747 all Freighter models,H
74H,n/a,Boeing 747-8I Passenger,H
74J,B744,Boeing 747-400 (Domestic),H
74L,N74S,Boeing 747SP,H
74M,n/a,Boeing 747 all Combi models,H
74N,n/a,Boeing 747-8F,H
74R,B74R,Boeing 747SR,H
74T,B741,Boeing 747-100 Freighter,H
74U,B743,Boeing 747-300 / 747-200 SUD Freighter,H
74V,B74R,Boeing 747SR Freighter,H
74X,B742,Boeing 747-200 Freighter,H
74Y,B744,Boeing 747-400 Freighter,H
752,B752,Boeing 757-200,H
753,B753,Boeing 757-300,H
757,n/a,Boeing 757 all models,H
75F,B752,Boeing 757 Freighter,H
75M,B752,Boeing 757 Mixed Configuration,H
75T,B753,Boeing 757-300 (winglets),H
75W,B752,Boeing 757-200 (winglets),H
762,B762,Boeing 767-200,H
763,B763,Boeing 767-300,H
764,B764,Boeing 767-400,H
767,n/a,Boeing 767 all models,H
76F,n/a,Boeing 767 all Freighter models,H
76W,B763,Boeing 767-300 (winglets),H
76V,B763,Boeing 767-300 (winglets) Freighter,H
76X,B762,Boeing 767-200 Freighter,H
76Y,B763,Boeing 767-300 Freighter,H
772,B772,Boeing 777-200,H
773,B773,Boeing 777-300,H
777,n/a,Boeing 777 all models,H
77F,n/a,Boeing 777 Freighter,H
77L,B772,Boeing 777-200LR,H
77W,B77W,Boeing 777-300ER,H
77X,B77L,Boeing 777-200 Freighter,H
781,B78X,Boeing 787-10,H
788,B788,Boeing 787-8,H
789,B789,Boeing 787-9,H
7M7,B37M,Boeing 737 MAX 7,M
7M8,B38M,Boeing 737 MAX 8,M
7M9,B39M,Boeing 737 MAX 9,M
7MJ,B3XM,Boeing 737 MAX 10,M
A22,AN22,Antonov AN-22,L
A26,AN26,Antonov AN-26,L
A28,AN28,Antonov AN-28 / PZL Miele M-28 Skytruck,L
A30,AN30,Antonov AN-30,L
A32,AN32,Antonov AN-32,L
A38,AN38,Antonov AN-38,L
A40,A140,Antonov AN-140,M
A4F,A124,Antonov AN-124 Ruslan,H
A5F,A225,Antonov AN-225,H
A81,A148,Antonov AN-148-100,M
AB3,A30B,Airbus Industrie A300,H
AB4,A30B,Airbus Industrie A300B2/B4/C4,H
AB6,A306,Airbus Industrie A300-600,H
ABB,A3ST,Airbus Industrie A300-600ST Beluga Freighter,H
ABF,A30B,Airbus Industrie A300 Freighter,H
ABX,A30B,Airbus Industrie A300C4/F4 Freighter,H
ABY,A306,Airbus Industrie A600-600 Freighter,H
ACD,n/a,Gulfstream/Rockwell (Aero) Commander/Turbo Commander,L
ACP,AC68,Gulfstream/Rockwell (Aero) Commander,L
ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander,L
AGH,A109,Agusta A109,n/a
ALM,LOAD,Ayres LM-200 Loadmaster,M
AN4,AN24,Antonov AN-24,M
AN6,n/a,Antonov AN-26 / AN-30 /AN-32,M
AN7,AN72,Antonov AN-72 / AN-74,M
ANF,AN12,Antonov AN-12,M
APH,n/a,Eurocopter (Aerospatiale) SA330 Puma / AS332 Super Puma,n/a
AR1,RJ1H,Avro RJ100 Avroliner,M
AR7,RJ70,Avro RJ70 Avroliner,M
AR8,RJ85,Avro RJ85 Avroliner,M
ARJ,n/a,Avro RJ70 / RJ85 / RJ100 Avroliner,M
ARX,n/a,Avro RJX85 / RJX100,M
AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320,M
AT5,AT45,Aerospatiale/Alenia ATR 42-500,M
AT7,AT72,Aerospatiale/Alenia ATR 72,M
ATD,AT44,Aerospatiale/Alenia ATR 42-400,M
ATF,AT72,Aerospatiale/Alenia ATR 72 Freighter,M
ATP,ATP,British Aerospace ATP,M
ATR,n/a,Aerospatiale/Alenia ATR 42/ ATR 72,M
AX1,RX1H,Avro RJX100,M
AX8,RX85,Avro RJX85,M
B11,BA11,British Aerospace (BAC) One Eleven / RomBAC One Eleven,M
B12,BA11,British Aerospace (BAC) One Eleven 200,M
B13,BA11,British Aerospace (BAC) One Eleven 300,M
B14,BA11,British Aerospace (BAC) One Eleven 400/475,M
B15,BA11,British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven,M
B72,B720,Boeing 720B,M
BE1,B190,Beechcraft 1900/1900C/1900D,M
BE2,n/a,Beechcraft twin piston engines,L
BEC,n/a,Beechcraft light aircraft,L
BEH,B190,Beechcraft 1900D,M
BEP,n/a,Beechcraft light aircraft - single engine,L
BES,B190,Beechcfrat 1900/1900C,M
BET,n/a,Beechcraft light aircraft - twin turboprop engine,L
BH2,n/a,Bell Helicopters,n/a
BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander,L
BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander,L
BUS,n/a,Bus,n/a
C27,AJ27,COMAC ARJ21,M
,C919,COMAC C919,M
